epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,376.168,1.44583,3.82742,1.64926,0.22604,0.2328,0.11134,0.07012,1.38531,3.27546,1.58435,9.7758e-05,9.7758e-05,9.7758e-05
2,947.61,1.31752,2.96499,1.48886,0.17435,0.33555,0.17695,0.10844,1.3431,2.82605,1.57976,0.000191882,0.000191882,0.000191882
3,1344.7,1.30796,2.73091,1.47722,0.27559,0.36619,0.2419,0.15145,1.371,2.58969,1.5352,0.000282125,0.000282125,0.000282125
4,1697.04,1.28402,2.52388,1.45374,0.29189,0.33978,0.25471,0.16092,1.40793,2.44391,1.58457,0.000276536,0.000276536,0.000276536
5,2094.59,1.26065,2.35611,1.44244,0.32054,0.33294,0.27717,0.18313,1.32966,2.34221,1.53473,0.000270715,0.000270715,0.000270715
6,2534.56,1.22339,2.21349,1.40147,0.30424,0.35233,0.27824,0.18152,1.36703,2.32484,1.5264,0.000264894,0.000264894,0.000264894
7,2911.83,1.20607,2.09101,1.3965,0.27084,0.41289,0.2969,0.19289,1.33642,2.22322,1.51238,0.000259073,0.000259073,0.000259073
8,3404.81,1.16657,1.9837,1.36704,0.36093,0.30819,0.28356,0.19002,1.33239,2.26657,1.52447,0.000253252,0.000253252,0.000253252
9,3883.73,1.16537,1.90259,1.36502,0.33272,0.39526,0.32467,0.21438,1.32278,2.20355,1.54419,0.00024743,0.00024743,0.00024743
10,4451.34,1.14572,1.80129,1.3459,0.35283,0.3795,0.3299,0.21699,1.29848,2.09716,1.49711,0.000241609,0.000241609,0.000241609
11,5129.02,1.1198,1.72582,1.32744,0.36523,0.36094,0.32696,0.21805,1.31037,2.15565,1.49968,0.000235788,0.000235788,0.000235788
12,5520.82,1.10301,1.63466,1.322,0.33055,0.3444,0.29594,0.20048,1.30268,2.24335,1.50687,0.000229967,0.000229967,0.000229967
13,5957.73,1.07858,1.5648,1.29991,0.38176,0.34818,0.33454,0.22158,1.30345,2.16944,1.50631,0.000224146,0.000224146,0.000224146
14,6382.14,1.06187,1.48946,1.28742,0.35321,0.37896,0.338,0.22057,1.31727,2.19569,1.50348,0.000218324,0.000218324,0.000218324
15,6750.85,1.05135,1.41336,1.28232,0.34826,0.38341,0.32946,0.21836,1.33351,2.17453,1.54275,0.000212503,0.000212503,0.000212503
16,7151.67,1.01353,1.35137,1.26236,0.35864,0.35806,0.3233,0.21261,1.32084,2.20026,1.5371,0.000206682,0.000206682,0.000206682
17,7554.08,0.99958,1.2986,1.25177,0.32605,0.40101,0.32828,0.22121,1.31943,2.26076,1.52938,0.000200861,0.000200861,0.000200861
18,7971.65,0.98658,1.25015,1.23227,0.3868,0.36572,0.34307,0.23075,1.30844,2.19152,1.52608,0.00019504,0.00019504,0.00019504
